date,time,close
05-10-2016,09:30:00,8786.2002
05-10-2016,10:30:00,8749.7998
05-10-2016,11:30:00,8752
05-10-2016,12:30:00,8743.75
05-10-2016,13:30:00,8747.34961
05-10-2016,14:30:00,8757.7002
05-10-2016,15:30:00,8737.7998
06-10-2016,09:30:00,8758.25
06-10-2016,10:30:00,8763.4502
06-10-2016,11:30:00,8763.34961
06-10-2016,12:30:00,8776.75
06-10-2016,13:30:00,8754.25
06-10-2016,14:30:00,8725.15039
06-10-2016,15:30:00,8712.40039
07-10-2016,09:30:00,8718.75
07-10-2016,10:30:00,8695.25
07-10-2016,11:30:00,8689.5498
07-10-2016,12:30:00,8685.5498
07-10-2016,13:30:00,8673.09961
07-10-2016,14:30:00,8691.7998
07-10-2016,15:30:00,8695.7998
10-10-2016,09:30:00,8733.25
10-10-2016,10:30:00,8726.2998
10-10-2016,11:30:00,8719.5498
10-10-2016,12:30:00,8722.09961
10-10-2016,13:30:00,8723.9502
10-10-2016,14:30:00,8715.7002
10-10-2016,15:30:00,8714.59961
13-10-2016,09:30:00,8636.0498
13-10-2016,10:30:00,8626.09961
13-10-2016,11:30:00,8627.90039
13-10-2016,12:30:00,8614.0498
13-10-2016,13:30:00,8570.7002
13-10-2016,14:30:00,8571.2998
13-10-2016,15:30:00,8571.5498
14-10-2016,09:30:00,8588
14-10-2016,10:30:00,8582.75
14-10-2016,11:30:00,8580.40039
14-10-2016,12:30:00,8578.75
14-10-2016,13:30:00,8587.25
14-10-2016,14:30:00,8591.0498
14-10-2016,15:30:00,8586.4502
17-10-2016,09:30:00,8581.2002
17-10-2016,10:30:00,8586
17-10-2016,11:30:00,8581.84961
17-10-2016,12:30:00,8528.15039
17-10-2016,13:30:00,8533.4502
17-10-2016,14:30:00,8528.34961
17-10-2016,15:30:00,8524.90039
18-10-2016,09:30:00,8576
18-10-2016,10:30:00,8586.75
18-10-2016,11:30:00,8592.09961
18-10-2016,12:30:00,8593.09961
18-10-2016,13:30:00,8616.4502
18-10-2016,14:30:00,8649.7998
18-10-2016,15:30:00,8667.7002
19-10-2016,09:30:00,8669.2998
19-10-2016,10:30:00,8662.5498
19-10-2016,11:30:00,8659.15039
19-10-2016,12:30:00,8667.4502
19-10-2016,13:30:00,8643.75
19-10-2016,14:30:00,8683.34961
19-10-2016,15:30:00,8655.5498
20-10-2016,09:30:00,8717.90039
20-10-2016,10:30:00,8708.40039
20-10-2016,11:30:00,8709.34961
20-10-2016,12:30:00,8697.5
20-10-2016,13:30:00,8698.2998
20-10-2016,14:30:00,8694.90039
20-10-2016,15:30:00,8700.2002
21-10-2016,09:30:00,8685.7002
21-10-2016,10:30:00,8666.4502
21-10-2016,11:30:00,8662
21-10-2016,12:30:00,8667.5498
21-10-2016,13:30:00,8669.0498
21-10-2016,14:30:00,8659.59961
21-10-2016,15:30:00,8691.15039
24-10-2016,09:30:00,8705.40039
24-10-2016,10:30:00,8700.59961
24-10-2016,11:30:00,8697.2002
24-10-2016,12:30:00,8705.4502
24-10-2016,13:30:00,8727.5
24-10-2016,14:30:00,8730.34961
24-10-2016,15:30:00,8711.65039
25-10-2016,09:30:00,8698.65039
25-10-2016,10:30:00,8672.7002
25-10-2016,11:30:00,8684
