date,daily_mtm_per_lot,slippage,Portdolio
25-08-2015,-7417.5,-300,"? 11,45,740.00"
26-08-2015,-6446.25,-300,"? 11,38,993.75"
27-08-2015,3675,-300,"? 11,42,368.75"
28-08-2015,-326.25,-300,"? 11,41,742.50"
31-08-2015,-997.5,-300,"? 11,40,445.00"
01-09-2015,8246.25,-300,"? 11,48,391.25"
02-09-2015,1815,-300,"? 11,49,906.25"
03-09-2015,1155,-300,"? 11,50,761.25"
04-09-2015,-183.75,-300,"? 11,50,277.50"
07-09-2015,5377.5,-300,"? 11,55,355.00"
08-09-2015,3795,-300,"? 11,58,850.00"
09-09-2015,-1428.75,-300,"? 11,57,121.25"
10-09-2015,7436.25,-300,"? 11,64,257.50"
11-09-2015,3615,-300,"? 11,67,572.50"
14-09-2015,5167.5,-300,"? 11,72,440.00"
15-09-2015,1612.5,-300,"? 11,73,752.50"
16-09-2015,-753.75,-300,"? 11,72,698.75"
18-09-2015,-4755,-300,"? 11,67,643.75"
21-09-2015,2677.5,-300,"? 11,70,021.25"
22-09-2015,14561.25,-300,"? 11,84,282.50"
23-09-2015,6101.25,-300,"? 11,90,083.75"
24-09-2015,1916.25,-300,"? 11,91,700.00"
28-09-2015,1875,-300,"? 11,93,275.00"
29-09-2015,10181.25,-300,"? 12,03,156.25"
30-09-2015,2662.5,-300,"? 12,05,518.75"
01-10-2015,2257.5,-300,"? 12,07,476.25"
05-10-2015,4871.25,-300,"? 12,12,047.50"
06-10-2015,-3041.25,-300,"? 12,08,706.25"
07-10-2015,-3738.75,-300,"? 12,04,667.50"
08-10-2015,922.5,-300,"? 12,05,290.00"
09-10-2015,303.75,-300,"? 12,05,293.75"
12-10-2015,2238.75,-300,"? 12,07,232.50"
13-10-2015,-918.75,-300,"? 12,06,013.75"
14-10-2015,-5141.25,-300,"? 12,00,572.50"
15-10-2015,-15,-300,"? 12,00,257.50"
16-10-2015,3217.5,-300,"? 12,03,175.00"
19-10-2015,558.75,-300,"? 12,03,433.75"
20-10-2015,-1188.75,-300,"? 12,01,945.00"
21-10-2015,270,-300,"? 12,01,915.00"
23-10-2015,446.25,-300,"? 12,02,061.25"
26-10-2015,2538.75,-300,"? 12,04,300.00"
27-10-2015,-75,-300,"? 12,03,925.00"
28-10-2015,1440,-300,"? 12,05,065.00"
29-10-2015,2433.75,-300,"? 12,07,198.75"
30-10-2015,1046.25,-300,"? 12,07,945.00"
02-11-2015,-2748.75,-300,"? 12,04,896.25"
03-11-2015,2130,-300,"? 12,06,726.25"
04-11-2015,4443.75,-300,"? 12,10,870.00"
05-11-2015,652.5,-300,"? 12,11,222.50"
06-11-2015,-690,-300,"? 12,10,232.50"
09-11-2015,3753.75,-300,"? 12,13,686.25"
10-11-2015,5613.75,-300,"? 12,19,000.00"
13-11-2015,-2403.75,-300,"? 12,16,296.25"
16-11-2015,4946.25,-300,"? 12,20,942.50"
17-11-2015,-1905,-300,"? 12,18,737.50"
18-11-2015,6641.25,-300,"? 12,25,078.75"
19-11-2015,4320,-300,"? 12,29,098.75"
20-11-2015,1031.25,-300,"? 12,29,830.00"
23-11-2015,420,-300,"? 12,29,950.00"
24-11-2015,-2722.5,-300,"? 12,26,927.50"
26-11-2015,630,-300,"? 12,27,257.50"
27-11-2015,1410,-300,"? 12,28,367.50"
30-11-2015,-4908.75,-300,"? 12,23,158.75"
01-12-2015,420,-300,"? 12,23,278.75"
02-12-2015,1800,-300,"? 12,24,778.75"
03-12-2015,1522.5,-300,"? 12,26,001.25"
04-12-2015,-960,-300,"? 12,24,741.25"
07-12-2015,1968.75,-300,"? 12,26,410.00"
08-12-2015,4042.5,-300,"? 12,30,152.50"
09-12-2015,4151.25,-300,"? 12,34,003.75"
10-12-2015,2242.5,-300,"? 12,35,946.25"
11-12-2015,3645,-300,"? 12,39,291.25"
14-12-2015,2621.25,-300,"? 12,41,612.50"
15-12-2015,3300,-300,"? 12,44,612.50"
16-12-2015,-652.5,-300,"? 12,43,660.00"
17-12-2015,352.5,-300,"? 12,43,712.50"
18-12-2015,3607.5,-300,"? 12,47,020.00"
21-12-2015,2763.75,-300,"? 12,49,483.75"
22-12-2015,843.75,-300,"? 12,50,027.50"
23-12-2015,573.75,-300,"? 12,50,301.25"
24-12-2015,-577.5,-300,"? 12,49,423.75"
28-12-2015,1293.75,-300,"? 12,50,417.50"
29-12-2015,-142.5,-300,"? 12,49,975.00"
30-12-2015,2216.25,-300,"? 12,51,891.25"
31-12-2015,2763.75,-300,"? 12,54,355.00"
01-01-2016,1792.5,-300,"? 12,55,847.50"
04-01-2016,6742.5,-300,"? 12,62,290.00"
05-01-2016,183.75,-300,"? 12,62,173.75"
06-01-2016,975,-300,"? 12,62,848.75"
07-01-2016,4511.25,-300,"? 12,67,060.00"
08-01-2016,-1162.5,-300,"? 12,65,597.50"
11-01-2016,2778.75,-300,"? 12,68,076.25"
12-01-2016,2868.75,-300,"? 12,70,645.00"
13-01-2016,-4286.25,-300,"? 12,66,058.75"
14-01-2016,3840,-300,"? 12,69,598.75"
15-01-2016,6716.25,-300,"? 12,76,015.00"
18-01-2016,2981.25,-300,"? 12,78,696.25"
19-01-2016,2400,-300,"? 12,80,796.25"
20-01-2016,-1263.75,-300,"? 12,79,232.50"
21-01-2016,3772.5,-300,"? 12,82,705.00"
22-01-2016,3551.25,-300,"? 12,85,956.25"
25-01-2016,1162.5,-300,"? 12,86,818.75"
27-01-2016,-828.75,-300,"? 12,85,690.00"
28-01-2016,-1593.75,-300,"? 12,83,796.25"
29-01-2016,6735,-300,"? 12,90,231.25"
01-02-2016,-963.75,-300,"? 12,88,967.50"
02-02-2016,7406.25,-300,"? 12,96,073.75"
03-02-2016,-2171.25,-300,"? 12,93,602.50"
